user,produk,review
v***i,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,Barang sesuai deskripsi Packing rapi Pengiriman cepat Thanks seller
Nopan,[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara,anakku doyan
a***a,,sudah dicoba diminum habis makan sahur  bikin seger ngga ngantuk  tp ttp kalem ngga berdebar. ke badan juga efeknya jd lebih enak. terimakasih produknya keren
Bobby,,packing nya super aman  terima kasih.
Emilia,,baru belanja lagi buat stok dan ternyata sekarang udah ga pake bubble wrap. lebih ramah lingkungan ya. trus labelnya juga ganti jadi warna ungu. dikasih bonus sada jiwa d...
khaimana,Bundling 2 Sukhaloka by Rahsa Nusantara,Seller gercep  dpt bonus. Terima ksh
Mira,,Terima Kasih paket jamu nya sudah sampai terbungkus rapih dan aman terkendali. Bubble wrapnya juga unik   ide menarik bisa dipakai ulang dan ramah lingkungan karena dari...
N***a,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,alhamdulillah nyampe langsung coba dan anaku bilang dia suka.. seger katanya
Rudy,,ok
meirina,,Packing aman rapi
Sasti,,Repurchase ketiga kalinya
Kartika,,Ini yang kedua kali beli. Alhamdulillah cocok untuk sakit magh saya
R***a,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,ok.
Supriyatno,,Praktis  mantab dan lezaaÃ tttttt
Supriyatno,,Makin mantab minum ini
M***a,,ngaruh banget
M***a,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,ngaruh banget
arifina,Mini Size Sapujagad Anak by Rahsa Nusantara,baru coba  anak alhamdulillah mau. semoga bisa bantu jaga kesehatan anak sy
Rizki,,Terbaik ðŸ¥°
Januar,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,blm dicoba  tp semoga bagus khasiatnya.. btw  admin'nya fast respon  begitu pesan langsung dikirim ga pake babibuðŸ˜
F***h,PAKET HEALTHY KIDS 200K By Rahsa Nusantara,paket sampai dgn amaan! tysm
bobby,,Pembelian yang kedua.. badan terasa enakan.. tidur lebih nyenyak.. kata istri  ngorok berkurang.. patut di coba bagi yang belum nyobain..
Muhammad,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,pengiriman cepat  dpt gratis ramuan lain  mantap!
Mona,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,sdh konsumsi selama 6 hari berturut2  kok batpil si kecil blm ada progres jg ya
N***i,[Bebas Pilih Bundling] Sapujagad Dewasa by Rahsa Nusantara - Herbal,Semoga cocok  direkomendasi teman untuk menjaga imun tubuh.. rasanya sesuai ingredients tertulis  masih bisa diterima untuk diminum :) diminum pagi2 best! Packingan supe...
Risa,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,sehari sampai packing aman  sendoknya bagus tebel. semoga berkhasiat utk anak2 yg sedang batuk
L***y,,Dua2nya enak banget! Mesti rajin minum tiap hari â˜ºï¸ thank you bonusnya!
A***a,,Uda Kesekian kalinya beli prayaguna dan sapujagad jg produk yg lain dr rahsa. Dan terima kasih hr ini di kasih free produk
Edward,,mantap...
A***a,,Favorit keluarga!!!
Ainun,"[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek""",benar2 membuat dahak anak saya keluar jd anak saya bs lega batuk lumayan berkurang
R***a,"[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek""",oke
Victor,,Teksturnya pas ga terlalu kental rasa balance.
S***a,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Udah sampe cepet banget 1 hr sampe begitu diminum enak banget tenggorokan jd ga sakit lg.
Fransisca,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",syarat P3K WAJIB DI RUMAH!
l***a,,Adminnya parah abis pernah salah kirim produk. Dan terakhir ini barang dikirim ke rmh orang lain karena ada 2 alamat yg tertera di alamat paket. Capek komplainnya ðŸ˜ª
Susilawati,,Paketnya bocor ini ga tau uda rusak atau masi bisa dimakan
lilis,,Pesen ini
a***u,,Segelnya terbuka..minyaknya tumpah. Respon adminnya lamaa
E***L,,bumbu diterima dalam kondisi bocor
E***L,,sambel diterima dalam kondisi bocor (segel terbuka)
dhanny,,Saya order dengan hamper dan kartu dan sudah info utk diberikan ke orang lain sebagai hadiah. Ternyata datang dalam bentuk Bubblewrap tanpa kartu dan kemasan hamper. Say...
D***i,"Bundling 2 Sukhaloka by Rahsa Nusantara""",The special box for 2 bottles is not safe enough to contain glasses. Tidak ada pemisah yg cukup kokoh ditengah2 mengakibatkan botol saling beradu di dalam kotak. Ditamba...
Mohammad,,dlm komposisi hanya mengandung jahe merah dan gula tdk ada jahe empritnya
R***i,"Paket #SediaRahsa Sebelum Hujan - Suplemen by Rahsa Nusantara""",Kemasan pecah hancur 2 botol kecuali yg lemon
gardini,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",Barang rusak. Seal alumunium rusak dan ada bercak kaya tumpah lalu basah
E***E,"Paket Diri Mandiri - Suplemen 14 Hari by Rahsa Nusantara""",terlalu kuat dilambung bisa sakit kalo yg tdk kuat lambungnya kemasan seadanya hanya dikresek
V***i,,produknya pd saat dituang koq byk yg menetes diluar gelas yg pasti produk ini sdh sy coba GAK Bikin tidur nyenyak....masih aja insomnia...jd rugi beli produk ini mahal k...
Md,,botol pecah
a***i,,Kecewa. Deskripsi 500gr yg datang 55gr
a***i,,Kecewa . Deskripsi 500gr yg datang 40gr. Kemahalan!
Sri,,Repeat order ke-3x dan gk seenak pertama. Terakhir juga repeat order sapujagad tapi lebih encer dari sebelum2nya
Debora,,produknya bocor dari tutup botolnya ternyata tidak fit semoga bisa diperbaiki untuk kedepannya. Jika bocor begini apakah masih bisa di konsumsi atau produk sudah rusak...
N***y,,aneh rasanya spt masih mentah.
Advan,,Sangat lama sekali pengiriman nya
y***i,,waktu dateng bocor
Tara,,Segel telah rusak/terbuka ketika barang sampai telah mengajukan keluhan utk diganti namun diminta barang yg rusak dikirim terlebih dahulu yg berarti saya harus mengelua...
B***o,,Excited untuk coba Sapu Jagad dari Rahsa Nusantara. Awalnya mau beli parcel/hampers yang bisa dikirim langsung ke alamat lain tapi slow response banget adminnya. Akhirny...
R***o,,minyak sambalnya tumpah karena sealnya tidak kuat
h***m,,Pengiriman produk tidak akurat. Order bumbu kuning dan bumbu putih tapi yang datang bumbu putih semua. Mau di retur tapi pembeli kena ongkir retur barang. Kecewa. Padahal...
Anamta,,Jamunya pengemasannya ntah gimana bocor. Pas dibuka kardusnya basah. Since banyak yang protes akan hal ini it is better kalau diperbaiki ya botolnya.
C***p,,Kemasan tidak di segel jadi tumpah
G***y,,Packing jelek masa produknya bisa beleber kemana2 kardus paketnya sampe basah. untung kurir cek sebelum mengirim barang saat seller dihub kurir bilangnya suruh tetep k...
Dian,,saya memilih produk ini SEBAGAI HADIAH LEBARAN untuk Karena kualitasnya. senang sekali saat toko ini memasukkan fitur KIRIM SEBAGAI HADIAH dengan ada form ucapan. tapi te...
A***s,,Sari Lemon
MAMASBUMP,,Rasanya kurang
N***i,,Pertama kali beli pas nyampe eh ada yang bocor. Berantakan udah tumpah minyaknya ke mana-mana. Ya udah mau gimana lagi emang nasip buruk apa mau dikata. Padahal udah pe...
Esta,,Segel di dalamnya terbuka sehingga minyak keluar sangat banyak. Saya tidak sempat memfoto segel bagian dalamnya karena terlalu berminyak dan susah memegang kamera
L***a,,saat sampai sudah rembes minyaknya sudah kemana2 saat buka tutup botol segel dalamnya sudah copot. entah karna SOP pengiriman yg buruk atau memang segel kurang kuat. p...
Jazeela,,aku beli flash sale ternyata produknya lost. salah di shippingnya sih. tapi masih sebel soalnya kan yang dibalikin uang pdhl aku pengen sekarjagad fs kalo g salah Ampe...
t***a,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Di deskripsi tidak tercantum kalo mengandung Blackpepper. Tolong informasi ingredients yg jelas. Jadi gak ke minum kan kalo gini.
R***a,,gak seperti dulu lagi
Syndi,"Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional""",pelayanan CS kurang bagus
D***i,,rasanya enak dapet bonus sari serai telang. tapi yang kurang sip di packagingnya pas sampe padahal udh kebungkus bubble wrap tp kayak ada yg bocor. Seal yg di rasananya...
D***a,"Sukhaloka by Rahsa Nusantara""",beli 2 sukhaloka fan 1 sapujagad. berat real 0 65kg. tapi kena ongkir 2 3 kg. rugi bayar ongkir kelebihan gak tahu siapa yg nerima kelebihannya. apa tokonya atau tokoped...
D***a,,kena ongkir 2 3 kg. padahal berat real 0 65 kg. utk pengiriman ke luar jawa yg sdh mahal rasanya rugi banget nget nget bayar ongkir 2 kilo utk berat yg gak nyampai sekil...
Riesda,,O
B***S,,Produk tidak diselotip jadi saat pengiriman tumpah karena tidak rapat.
K***a,,Dari 3 bumbu yg diorder ada 2 yg posisinya terbuka seperti itu (dari dusnya sdh terlihat ada yg basah udah curiga ada yg bocor)ternyata betul..sedikit kecewa. Padahal i...
Anindita,,Paket rembes.. Berasal dari kemasan bumbu kuning
KhAyu,,Ga pedas spt sambal bawangnya .
B***i,,Bintang 3 dulu krn tumpah / bocor
Sofie,,Rasa terasinya aga aneh...
NIMAS,,Maaf kalo kasi nya bintang 3 productnya oke banget tapi udha 2 kalo dpet masalah di shipping syukurnya productnya ga ampe basi karena langsung masukin kulkas ketika...
Anggia,,Saya beli 2. Dan expiry date terlalu dekat. bulan 6 2021.
F***a,,pengiriman lama banget
n***o,,ada 1 yg sudah terbuka
M***i,,Rasanya dominan asam dan terasa seperti minum jamu. Anakku ga suka akhirnya aku yg minum
Rizki,,Rasa bawangnya
B***y,,kualitas produk oke hanya botol kemasan bocor dr tutupnya pada saat pengiriman
Bgx,,Produk nya oke sebenernya tapi packaging nya jelek gampang tumpah kalo lagi nuang ke sendok.. Mulut botol nya diganti lah agar kalo nuang gk gampang tumpah2
I***i,,hadiah mugnya ga ada
E***i,,Uda bberapa kali beli bocor terus duh ga diperbaikin terus packaging nya.. ajukan komplain juga ribet
hanik,,masa kadaluarsa nya kurang lama
mindo,,sambal terasi dan sambal hijau ya expirednya cpt bgt ya. Masa cuma sampe February (sebulan) doank. ini stok lama ya?
Traya,,Waktu barang nya belum dtg dihubungin ekspidisi kt nya barang nge rembes. Begitu sampai di unboxing dgn kurirnya ternyata tutup nya ga rapat jd minyak nya keluar semua....
Y***i,,sedih banget. dari 4 botol yang dikirim 1 pecah dan tumpah sampai basah kerdusnya. padahal sudah dibungkus dengan bubble wrap.
A***i,,Tutupnya kurang â€œair-tightâ€
Dian,,pengalaman belanja yang tidak enak seller sudah menawarkan komplain barang tapi sampai 3 hari saya ga keburu kirim barang untuk pengembalian. sehingga pesanan dianggap se...
T***a,,packing rapi.. sayangnya botol retak jg dan boccor halus.. isi nya merembes keluar
Maureen,,Barang ok cmn pengemasan nya aga kurang. tutup plastik dalam kurang ngepas shingga semua cairan rembess
R***a,,Kemasan bocor dikarenakan tutup pada botol yang kurang rapat tetapi botolnya aman tidak pecah dan isinya masih bagus. semoga kedepannya lebih baik
R***a,,Tutup luar dan segel dalamnya udah kebuka. Tolong packagingnya lebih baik lagi agar higienis ketika sampai ke tangan konsumen. :(
Medina,,mengecewakan sekali jam 14.06 dibeli tapi besoknya jam 10.33 masih belum ada proses lebih lanjut. yg seharusnya bisa diambil kurir tanggal 3 Desember jadi molor banget....
Diani,,Ketika diterima segel barang terbuka sedikit jadi kandungan air/minyaknya merembes ke plastik wrapnya. Sy gk yakin kualitasnya sama atau tidak dengan yg bersegel rapat
D***l,,Salah satu manfaat kunyit asam untuk meredakan mag memang terbukti manjur di saya. Oleh karena itu saya repeat order. Tapi untuk pembelian kali ini saya agak kecewa karn...
m***a,,packing dan pengiriman cepet bet. wkt liat produknya berharap rasanya kek sambal ijo padang dan saya salah. rasa sambalnya agak tawar mungkin krn sambal sehat ya? t...
Ayuning,,Coller tambahan agar sambal tidak basi
E***i,,Sari lemon nya Agak pahit rasanya after taste..
Kris,,deliverynya...pdhl biasanya cepat..
a***e,,Maaf ini honest review. Rasa jahenya kurang nendang. Utk service
D***i,,utk kualitas produk
Romadona,,Sedih sih saat dibuka agak meledak isinya berhamburan kena taplak meja dah warnanya gak bisa hilang :( apa memang tidak boleh dikocok sebelum dibuka dulu ya...semoga k...
saskia,,barang ok tp bocor dan tumpah. tutup tdk erat
Nucha,,Salah satu bumbu tumpah
Bunga,,Kemasan kurang rapat jd bocor
A***a,,langganan beli disini tp baru kali ini bumbu tercecer kebuka hampir seperempat nya keluar dr kemasan nya ðŸ˜­ðŸ˜­
L***i,,Tutup toplesnya tidak rapat sehingga isinya merembes keluar. Dan bumbunya jadi kering.
Sri,,kali ini beli lebih encer tanya admin katanya sama aja resepnya. sudah 4x repeat order yg ini mengecewakan.
F***o,,Entah krn panas atau tekanan tp jamu nya jd rusak bersoda. Trus mbledos ðŸ¤£
Nes,,Saya terima bumbu kuning
D***y,,Packagingnya kurang aman. Tumpah
Hanna,,Pas sampai box sudah basah benyek disamping dan berminyak. Begitu buka sesuai kecurigaan dan sempet bc bbrp review memang bocor tutupnya.
nur,,Kemasan pengiriminannya kurang baik karena bumbunya tumpah2 keluar
Annisa,,produk cepat sampainya . tapi kenapa setiap saya mau nuang ke sendok pasti tumpah ya agak sayang setiap nuang ke sendok pasti tumpah sedikit . semoga kemasanya diperaik...
Dhinie,,Sudah dibuat masak dan memang rasa nya oke punya cm packingnya buruk sampai rumah tumpah bumbu nya
Asri,,Lagi apes. Ini pembelian ke-2 saya dpt produk bocor. Bumbu nya sih ga sampe keluar tp minyak nya kemana2 sampe nembus di kardus. Waktu dpt bocor pertama kali yaudah mun...
D***i,,Saya sudah sering pesan produk ini tapi makin kesini rasanya semakin berbeda dan aneh.. beda seperti saat awal saya pesan.. rasa kunyitnya tdk terasa hanya rasa asam sa...
D***i,,Saya sudah sering pesan produk ini tapi makin kesini rasanya semakin berbeda dan aneh.. beda seperti saat awal saya pesan.. rasa jahenya tdk terasa.. mungkin krn pandemi...
R***h,,Sekarang rasanya beda dan lebih cair
Mitapradnyadewi,,Kemasan nya sudah bagus cuma botolnya baru di buka pecah samping nya
S***i,,sambal bawang nya seal kertas tidak menempel dengan botol (terlepas begitu tutup botol di buka)
O***a,,Ayamnya kurang fresh gatau karena pengiriman ke Jakarta atau gimana ðŸ¥²
Lili,,asemmm banget dan ada sedikit rasa pahit
Ulyn,,Rasanya sungguh plain yg agak mendingan rasanya itu ayam terik manis.
D***f,,Aftertaste nya Agak Pahit di mulut saya
F***a,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Endapan kunyitnya banyak banget euyy....
Abu,,. blm berani kasi bintang 5...prosess on going...kl berhasil beli lagi....baru bs kasi bintang lima...
rahmayanti,"Paket Kolaborasi Pocilito - Rahsa Nusantara X Dayu Hatmanti""",ternyata ada yg gak kejait huhuu
D***a,,Pembelian ke2. ternyata kurang begitu ngefek untuk penderita Gerd. terimakasih.
Mirna,,Pengiriman cepat packing aman tidak ada yang bocor. Tapi saya kurang cocok sama rasanya.
T***o,,Biasa aja...
N***y,,Lambung+esofagus saya yg sudah didera maag/GERD belum bisa kompromi dgn Sapujagad lebih cocok sama yg Jagadthara.
f***y,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",Pengiriman luar biasa lamaâ€¦ðŸ¥² punya paket dari bandung jg tapi datangnya bisa lebih cepat
f***y,,Pengirimannya lama banget dan ternyata anak sy g doyanðŸ˜‚
Widya,"Mini Size Sapujagad Anak by Rahsa Nusantara""",Tutup dan kemasan perlu diperbaiki. Beli 5 botol lima2nya isinya keluar. Gak banyak tapi botol bagian luarnya basah walaupun bubble wrap nya aman ya.
Widya,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",Tutup dan kemasan perlu diperbaiki. Beli 5 botol lima2nya isinya keluar. Gak banyak tapi botol bagian luarnya basah walaupun bubble wrap nya aman ya.
B***a,,entah krn indra perasa sy yg rusak apa gmn kayanya lemonnya kurang fresh dr bau dan rasanya beda
Muh,,Di botol nya di tulis tidak boleh dikonsumsi lebih dr satu kali sehari. Tapi di gambar nya utk penanganan dibilang diminum 3x sehari. Mana yg benar ya?
Anita,,Rasa lemonnya segar cuma aromanya ketika diminum dg air biasa ada seperti bau obat tp tidak pahit dan sy td coba tanpa tambahan gula/ madu
Dewi,"[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek""",exp datenya tidak ditampilkan di etalase ketika barang sampe ternyata exp nya tinggal sebulan lg
Haning,"[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara""",pengemasan sangat perlu ditingkatkan botol sapujagad pecah saat sampai :((
N***l,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",agak bocor tutupnya ga kencang walau sudah di segel
Mona,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",sdh konsumsi selama 6 hari berturut2 kok batpil si kecil blm ada progres jg ya
fadhiel,,Belum dicoba untuk rasanya untuk packagingnya oke banget safety bgt lah !
Rachmayanti,"PAKET HEALTHY KIDS 200K By Rahsa Nusantara""",Rasanya kurang kalau untuk anak
N***a,,sy langganan beli ini sudah 4 kali kecewa dengan kemasan skrg ga ada tutup putih lagi. skrg hanya langsung alumunium tetesan rahsa keluar saat di kocok. tolong diadaka...
a***y,,Pengemasannya lama dikirimnya pengirimannya lumayan cepet
M***n,,Paket sudah sampai...
D***y,,Packaging kurang aman. Tumpah
J***y,,Baru datang belum di coba tp kyk kebanyakan y direview masalah nya ad di botol nya .ad rembesan untung sehari sampai pengiriman nya.jd berkurang nya g banyak bgt ðŸ˜­
I***a,,rasa dominan asam sepertinya rahsa nusantara harus bkin produk yg manfaat nya sama dgn dominan rasa manis supaya anak2 lebih nyaman saat minum yaaaa hanya masukan saja...
A***a,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Pesan minggu baru diproses selasa. Dah keburu sembuh flu batuknya.
Eko,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",Barangnya lumayan bagus.....cuma pengiriman lama Banget udah bayar mahal....parah banget
S***e,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Baru dicoba
Alan,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",rasa nya terlalu rasa jamu.. kunyit nya terlalu kencang g ada kecut2 dari tamarind nya
S***n,,sepertinya kemasannya sedikit tumpah
Windra,,Masukan: bisa dikemas dengan lebih baik lagi agar isi tidak tumpah saat dituang
Elvina,,Pas dibuka segel dalam bumbunya kering..pembelian pertama ga kering..
Sari,,udh pake bubble wrap tp masih sedikit tumpah sepertinya .. krn bubble terasa basah oleh produk .. mksh bonusnya
indahvesqi,,barangnya sudah sampai. ternyata dikasih bonus Sari lemon cold press shoot dan pecah tapi jd merembes dikardus. sayang deh ga bs dicoba. tp 2 botol sekarjagadnya safe
S***s,,produk berkualitas ini repeat order saya. bumbu dikemas botol kaca dibungkus bubble wrap tebal. Pesan barengan dgn bumbu putih namun sayang yg bumbu kuning ini segel al...
susanti,,tutup dalamnya longgar tidak ngunci jadi rembes keluar.masukan harap tutup dalmnya diganti yg pas.produk belum di coba.
h***i,,pengiriman cepet.udh cocok jg ama produknya
Andina,,kemasannya bocor sampai tembus keluar kardus paketnya. mohon untuk diperbaiki packingnya
Novi,,Packaging rapi tapi pas bubble wrap dibuka ttp ada rembesan basah ga tau darimana. Pas dituang rada susah n tumpah2 dari mulut botolnya padahal uda hati2 bgt. Mungkin bai...
Novi,,Bungkusnya sih rapi tapi waktu di buka bubble wrap ttp ada rembesan ga tau darimana. Trus pas dituang ke sendok suka tumpah2 mungkin baiknya diganti yg mulut botolnya an...
I***i,,Kali ini rembes :( Semoga kualitas produk tidak berkurang terima kasih.
Z***h,,yg sari telang aman yg kunyit asam bocor. next time diperbaiki packaging botolnya biar gak tumpah
N***f,,beli ini buat teman yang lagi sakit.
P***i,,lumayan tapi ga pedes sih klo buat aku
Devy,,entah salah di mana packingannya tapi merembes keluar dan aromanya pun ke mana2... tapi alhamdulillah aman ga pecah dan tutup ga terbuka...
Fatimah,,minyaknya rada merembes
I***i,,Barang diterima dengan baik
R***a,,Ada bocor dikittt aja lainnya aman.
Nita,,Nice cuma edun lama BANGET di jalan... dikit lagi udah kadaluarsa di pengiriman sih itu.
KhAyu,,Sapujagad nyaa the best !
M,,semoga barang bagus
M,,semoga barang bagus...
I***i,,semoga bermanfaat
Tati,,Seal ada yg kurang rapat sedikit. Isi tidak sepenuh rasana bumbu putih. Less oil
Yuanita,,Bocor sebel bgt
S***i,,enak.
H***h,"Laras Sekar by Rahsa Nusantara""",pecah 1 hiks. Isinya uda tumpah ke kardusnya semua..
Avisa,,belum coba produknya mudah2an cocok
S***i,,kemasan kurang aman tutup nya miring. minyak nya jadi tumpah ke mana2. padahal sesama bandung. saran aja bikin dus kemasan yg bisa berdiri. ini dus nya yg tidur gitu j...
V***a,,belum pernah coba baru kali ini mau coba untuk jaga imun
y***i,,baru pertama mau nyoba. botol tersegel packing berlapis lapis tapi sayang msh ada yg merembes. oh ya terima kasih utk bonus nya.
y***i,,adminnya ramah pengiriman cepat botol tersegel n packing berlapis lapis tapi sayang masih ada cairannta yg merembes.
Tani,,packagingnya kurang. jd ada yg tumpah
A***o,,semua kemasan bocor ga bnyk tapi tetap sayang huhu
A***o,,semua kemasan bocor padahal cm ke jkt walau dikit ttp sayang. semoga kedepanny sealny dalam botol lbh kuat krn yg dateng semuany longgar
E***H,,Barang sudah sampai. Ada 1 yg bocor.
dian,,lamaaaa bgt pengirimannya
Irana,,Pengiriman cepat pengemasan aman cuma kurang cocok rasanya.
e***n,,Review pembelian bundling pertama:
Kenyo,,Packing bocor sedikit tp overall oke
Madina,,packaging aman tp pengiriman lama. blm dicoba smoga cocok
C***l,,pertama kali nyoba semoga sesua ekspetasi respon penjual bagus packaging aman
C***l,,penjual responsif pengiriman juga cepat 1 hari padahal luar bandung semoga rasa rempahnya enak
Athina,,Produknya bagus dan rasanya pas. Tapi tutupnya agak kurang kuat jadi agak sedikit bleber di paketnya tapi tidak terlalu banyak. Sedikit input untuk kurirnya juga untuk ng...
I***i,,kemasan rapi ga ada yg bocor kadaluarsanya Februari 2021 rasa belum tau nih semoga enak2 aja.
I***i,,kemasan rapi ga ada yg bocor kadaluarsa Februari 2021 rasa belum di cobain semoga enak2 aja.
M***a,,Baru pertama kali coba semoga cocok. Packingnya sudah bagus namun masih ada basah di botol dan bubble wrap nya mungkin bocor sedikit.
Y***I,,ketika sampai isi botol sedikit rembes...
Imelda,,packaging lebih diperhatikan karena pada saat diterima ada cairan yg keluar
p***i,,1 botol pecah. Sedih bgt. Pdhl sudah diwrap. Mungkin kebanting2 di jalan.
Diah,,pecah botolnya
K***n,,Aku kurang suka rasanya
R***i,,Packing sudah seal vacum (seharusnya aman ya) tapi ternyata masih bocor sampai keluar bubble wrap.
R***a,,Nyobain Sukhaloka sofar seminggu pemakaian kerasa efek nya kulit cerah dan gak kering tapi kulit lebih oily gitu jadi tetep harus pinter2 bersihin minyak di muka biar...
Sulistio,,barang sesuai dengan pesanan packing bagus pengiriman cepat sayang respon penjual sangat lambat dan terkesan kaku kurang flesibel
Wanderland,"Sari Kunyit Asam by Rahsa Nusantara""",rasanya enak. tapi anjuran mixingnya krg pas deh. 4sdm buat 1 gelas itu keenceran bgt. kayanya 1 gelas 200ml itu harus sekitar 5-6 sdm. mgkn tim rahsa hrs memperkental lg...
E***i,"Sari Kunyit Asam by Rahsa Nusantara""",layanan cepat packing rapih...
E***i,"Sari Bir Plethok by Rahsa Nusantara""",idem
M***i,,Barang pecah di pengirimn tapi seller bantu sampe dana refund ke pembeli ðŸ‘ðŸ»ðŸ‘ðŸ»
M***o,,Barang si weap cukup aman
e***i,,bocor yg tnyt dari segelnya yg udh kebuka sedih ðŸ˜ž
Maurilla,,Entah knapa berkarat tutupnya sperti lembab dan ada yg tumpah salah satu nya. Mungkin bisa dicek lagi untuk pengemasannya.
Dessianawaty,,pengiriman ny agak telat.. kemasan ny bocor..
Dessianawaty,,pengiriman ny telat.. sayang banget pdhl ini udh order yg kesekian kali.. mana produk ny kn hrus masuk kulkas..
Kumala,,Ada 1 yg bocor spt biasa
o***l,,Pengiriman aman tidak ada yang tumpah. Hanya tutup botol sedikit ada bagian yg sobek. Tapi so far aman.
K***n,,exp date trl cepat..
Kusuma,,Praktis
H***u,,"cepat di proses tetapi kurir """"si cepat """" di tempat tujuan yang tidak recomended paket dibiarkan 2 hari tanpa pemberitahuan ke pelanggan."
A***k,,sampai dengan selamat. baru tau ternyata madunya cukup pahit. hehe...
Asih,,Sayangnya waktu pengiriman tidak sesuai dengan perkiraan
I***a,,order 3 toples 1 toples bocor krn seal dalamnya lepas. 2 toples amannn. bumbunya wangi bgt.
a***a,,Dapet flash sale sapu jagad barang nya di kemas dengan sangat baik tapi pengiriman nya lama banget pesan dari tanggal 25 november pengiriman ke jatim baru sampai tgl 2...
E***a,,rasanya unik ada mintnya tapi agak kemanisan buat saya
Arief,,Barang bagus sayang yg sari asam pecah
B***i,,sebetulnya bubble wrap udah tebal tapi masih ada rembesan sehingga botol jadi basah.. insya Allah kalo cocok pesan lagi
Iva,,pengiriman cepat. seller responsif. saran saya mungkin bisa diperbaiki dari segi kemasan terutama di bagian tutup botol pas saya terima isi botolnya dua-duanya agak mel...
Syantie,,packing nya sih aman ya .tapi beleber semua. rembes. ada kuning2nya dibagian botol karena ada bagian cairan yang keluar.diboxnya ada tulisan dapet sisipan kebaikan. tapi...
Muhammad,,agak lama proses nya
Arwinda,,pengiriman lama ðŸ˜…
I***y,,sudah langganan lebih dari setahun. sayang sekali harga naik signifikan dalam waktu singkat dan pengemasan/pengiriman jadi lebih lama. Kangmas
H***i,,berat nettnya 21 gr ya gaes...poin penting cek ini sblm beli supaya ga kecewa akhirnya...kl oke segitu g masalah kan...imut2.. blm dicoba di seduhnya..semoga hasilnya pek...
H***i,,nettonya 225 ml ya gaes.. di perhatikan lg nettnya. .kemasan botol kaca dibungkus bubble wrap cukup tebel jd aman
belinda,,Pesan yg paket isi 3 bumbu.
R***a,,Pengiriman ok barang dikemas dgn baik. Baru coba jd blm keliatan efeknya
Hanifa,,selalu cocok sama produk2nya rahsa...hanya saja sangat disayangkan tokonya libur di hari sabtu dan minngu...jadi pesan di hari sabtu pagi baru dikirim di hari senin
O***a,,Thanksssssssssssssse
Evy,,Packing rapi blm di coba mudah2an bermanfaat..
Mira,,Sedikit leaking tp alhamdulillah tidak pecah. Semoga berkhasiat positif
N***i,,pengiriman cepat tapi yg botol sekarjagad kayanya ada kebocoran dikit krn waktu bubble wrap dibuka botolnya sedikit basah tapi overall ok produk belum dicoba
,,Fast respon banget packing rapih sekali cepat sampai.
,,Oke barangnya. Hanya lama di kurir.....
C***i,,Sudah habis satu botol tapi belum terlalu terasa efeknya. Hanya hangat di tenggorokan saja.
wiwien,,Produk dikemas dengan baik. Semoga cocok
Shelvy,,Gatau kenapa sapu jagad yg sekarang lebih cair dari yang sebelumnya dan rasanya juga beda tp semoga khasiatnya tetep sama yaa
dilamitha,,produknya belum dicoba beli 3 seri rasana 2 diantaranya agak rembes sepertinya karena segel di dalem tutup toplesnya masih belum sempurna menutup..
