,user,produk,review,review_processed,polarity_score,polarity
275,Susilawati,,Paketnya bocor ini ga tau uda rusak atau masi bisa dimakan,"paket,bocor,enggak,tau,sudah,rusak,makan",-2,negative
276,lilis,,Pesen ini,sen,0,neutral
277,a***u,,Segelnya terbuka..minyaknya tumpah. Respon adminnya lamaa,"segel,buka,minyak,tumpah,respon,adminnya,lamaa",-2,negative
278,E***L,,bumbu diterima dalam kondisi bocor,"bumbu,terima,kondisi,bocor",0,neutral
279,E***L,,sambel diterima dalam kondisi bocor (segel terbuka),"sambel,terima,kondisi,bocor,segel,buka",-1,negative
280,dhanny,,Saya order dengan hamper dan kartu dan sudah info utk diberikan ke orang lain sebagai hadiah. Ternyata datang dalam bentuk Bubblewrap tanpa kartu dan kemasan hamper. Say...,"order,hamper,kartu,info,untuk,orang,hadiah,nyata,bentuk,bubblewrap,kartu,kemas,hamper,sayang",2,positive
281,D***i,"Bundling 2 Sukhaloka by Rahsa Nusantara""",The special box for 2 bottles is not safe enough to contain glasses. Tidak ada pemisah yg cukup kokoh ditengah2 mengakibatkan botol saling beradu di dalam kotak. Ditamba...,"the,special,box,for,bottles,is,not,safe,enough,tapi,contain,glasses,pisah,kokoh,ditengah-tengah,akibat,botapil,adu,kotak,ditamba",0,neutral
282,Mohammad,,dlm komposisi hanya mengandung jahe merah dan gula tdk ada jahe empritnya,"dalam,komposisi,kandung,jahe,merah,gula,tidak,jahe,empritnya",-1,negative
283,R***i,"Paket #SediaRahsa Sebelum Hujan - Suplemen by Rahsa Nusantara""",Kemasan pecah hancur 2 botol kecuali yg lemon,"kemas,pecah,hancur,botol,lemon",-1,negative
284,gardini,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",Barang rusak. Seal alumunium rusak dan ada bercak kaya tumpah lalu basah,"barang,rusak,seal,alumunium,rusak,bercak,kayak,tumpah,basah",-5,negative
285,E***E,"Paket Diri Mandiri - Suplemen 14 Hari by Rahsa Nusantara""",terlalu kuat dilambung bisa sakit kalo yg tdk kuat lambungnya kemasan seadanya hanya dikresek,"kuat,lambung,sakit,kalo,tidak,kuat,lambung,kemas,dikresek",1,positive
286,V***i,,produknya pd saat dituang koq byk yg menetes diluar gelas yg pasti produk ini sdh sy coba GAK Bikin tidur nyenyak....masih aja insomnia...jd rugi beli produk ini mahal k...,"produke,pada,tuang,keoke,banyake,tetes,gelas,produke,sudah,saya,coba,enggake,bikein,tidur,nyenyake,insomnia,jadi,rugi,beli,produke,mahal,ke",-1,negative
287,Md,,botol pecah,"botol,pecah",-1,negative
288,a***i,,Kecewa. Deskripsi 500gr yg datang 55gr,"kecewa,deskripsigr,datanggr",-1,negative
289,a***i,,Kecewa . Deskripsi 500gr yg datang 40gr. Kemahalan!,"kecewa,deskripsigr,datanggr,mahal",-1,negative
290,Sri,,Repeat order ke-3x dan gk seenak pertama. Terakhir juga repeat order sapujagad tapi lebih encer dari sebelum2nya,"repeat,order,kex,enggak,enak,repeat,order,sapujagad,encer,sebelum-sebelumnya",0,neutral
291,Debora,,produknya bocor dari tutup botolnya ternyata tidak fit semoga bisa diperbaiki untuk kedepannya. Jika bocor begini apakah masih bisa di konsumsi atau produk sudah rusak...,"produk,bocor,tutup,botol,nyata,fit,moga,bocor,konsumsi,produk,rusak",-3,negative
292,N***y,,aneh rasanya spt masih mentah.,"aneh,seperti,mentah",-1,negative
293,Advan,,Sangat lama sekali pengiriman nya,kirim,0,neutral
294,y***i,,waktu dateng bocor,"datang,bocor",-1,negative
295,Tara,,Segel telah rusak/terbuka ketika barang sampai telah mengajukan keluhan utk diganti namun diminta barang yg rusak dikirim terlebih dahulu yg berarti saya harus mengelua...,"segel,rusak,buka,barang,aju,keluh,untuk,ganti,barang,rusak,kirim,arti,kelua",-4,negative
296,B***o,,Excited untuk coba Sapu Jagad dari Rahsa Nusantara. Awalnya mau beli parcel/hampers yang bisa dikirim langsung ke alamat lain tapi slow response banget adminnya. Akhirny...,"excited,coba,sapu,jagad,rahsa,nusantara,beli,parcel,hampers,kirim,langsung,alamat,slow,response,adminnya,akhirny",-1,negative
297,R***o,,minyak sambalnya tumpah karena sealnya tidak kuat,"minyak,sambal,tumpah,sealnya,kuat",0,neutral
298,h***m,,Pengiriman produk tidak akurat. Order bumbu kuning dan bumbu putih tapi yang datang bumbu putih semua. Mau di retur tapi pembeli kena ongkir retur barang. Kecewa. Padahal...,"kirim,produk,order,bumbu,kuning,bumbu,putih,bumbu,putih,retur,beli,kena,ongkir,retur,barang,kecewa",-1,negative
299,Anamta,,Jamunya pengemasannya ntah gimana bocor. Pas dibuka kardusnya basah. Since banyak yang protes akan hal ini it is better kalau diperbaiki ya botolnya.,"jamu,emas,entah,bagaimana,bocor,buka,kardus,basah,since,protes,hal,itu,is,better,botol",-2,negative
300,C***p,,Kemasan tidak di segel jadi tumpah,"kemas,segel,tumpah",-2,negative
301,G***y,,Packing jelek masa produknya bisa beleber kemana2 kardus paketnya sampe basah. untung kurir cek sebelum mengirim barang saat seller dihub kurir bilangnya suruh tetep k...,"packeing,jeleke,produke,beber,keemana2,keardus,pakeet,sampai,basah,untung,keurir,ceke,keirim,barang,seller,dihub,keurir,bilang,suruh,tetap,ke",-1,negative
302,Dian,,saya memilih produk ini SEBAGAI HADIAH LEBARAN untuk Karena kualitasnya. senang sekali saat toko ini memasukkan fitur KIRIM SEBAGAI HADIAH dengan ada form ucapan. tapi te...,"pilih,produk,hadiah,lebaran,kualitas,senang,toko,masuk,fitur,kirim,hadiah,form,te",2,positive
303,A***s,,Sari Lemon,"sari,lemon",0,neutral
304,MAMASBUMP,,Rasanya kurang,,0,neutral
305,N***i,,Pertama kali beli pas nyampe eh ada yang bocor. Berantakan udah tumpah minyaknya ke mana-mana. Ya udah mau gimana lagi emang nasip buruk apa mau dikata. Padahal udah pe...,"beli,sampai,eh,bocor,beranta,tumpah,minyak,bagaimana,nasip,buruk,pe",-2,negative
306,Esta,,Segel di dalamnya terbuka sehingga minyak keluar sangat banyak. Saya tidak sempat memfoto segel bagian dalamnya karena terlalu berminyak dan susah memegang kamera,"segel,buka,minyak,foto,segel,minyak,susah,pegang,kamera",-3,negative
307,L***a,,saat sampai sudah rembes minyaknya sudah kemana2 saat buka tutup botol segel dalamnya sudah copot. entah karna SOP pengiriman yg buruk atau memang segel kurang kuat. p...,"rembes,minyak,kemana2,buka,tutup,botol,segel,copot,karena,sop,kirim,buruk,segel,kuat,p",-3,negative
308,Jazeela,,aku beli flash sale ternyata produknya lost. salah di shippingnya sih. tapi masih sebel soalnya kan yang dibalikin uang pdhl aku pengen sekarjagad fs kalo g salah Ampe...,"beli,flash,sale,nyata,produk,lost,salah,shippinenggaknya,sebel,dibalikin,uanenggak,padahal,ken,sekarjaenggakad,fs,kalo,enggak,salah,sampai",0,neutral
309,t***a,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Di deskripsi tidak tercantum kalo mengandung Blackpepper. Tolong informasi ingredients yg jelas. Jadi gak ke minum kan kalo gini.,"deskripsi,cantum,kalo,kandung,blackpepper,tolong,informasi,ingredients,enggak,minum,kalo,gin",-1,negative
310,R***a,,gak seperti dulu lagi,enggak,0,neutral
311,Syndi,"Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional""",pelayanan CS kurang bagus,"layan,cs,bagus",0,neutral
312,D***i,,rasanya enak dapet bonus sari serai telang. tapi yang kurang sip di packagingnya pas sampe padahal udh kebungkus bubble wrap tp kayak ada yg bocor. Seal yg di rasananya...,"enak,dapat,bonus,sari,serai,telang,sip,packagingnya,sampai,sudah,bungkus,bubble,wrap,tapi,kayak,bocor,seal,rasananya",0,neutral
313,D***a,"Sukhaloka by Rahsa Nusantara""",beli 2 sukhaloka fan 1 sapujagad. berat real 0 65kg. tapi kena ongkir 2 3 kg. rugi bayar ongkir kelebihan gak tahu siapa yg nerima kelebihannya. apa tokonya atau tokoped...,"beli,sukhaloka,fan,sapujagad,berat,realkg,kena,ongkir,rugi,bayar,ongkir,enggak,menerima,toko,tokoped",-1,negative
314,D***a,,kena ongkir 2 3 kg. padahal berat real 0 65 kg. utk pengiriman ke luar jawa yg sdh mahal rasanya rugi banget nget nget bayar ongkir 2 kilo utk berat yg gak nyampai sekil...,"kena,ongkir,berat,real,untuk,kirim,jawa,sudah,mahal,rugi,babanget,babanget,bayar,ongkir,kilo,untuk,berat,enggak,nyampai,sekil",-1,negative
315,Riesda,,O,o,0,neutral
316,B***S,,Produk tidak diselotip jadi saat pengiriman tumpah karena tidak rapat.,"produk,diselotip,kirim,tumpah,rapat",-1,negative
317,K***a,,Dari 3 bumbu yg diorder ada 2 yg posisinya terbuka seperti itu (dari dusnya sdh terlihat ada yg basah udah curiga ada yg bocor)ternyata betul..sedikit kecewa. Padahal i...,"bumbu,order,posisi,buka,dus,sudah,lihat,basah,curiga,bocor,nyata,kecewa,i",-3,negative
318,Anindita,,Paket rembes.. Berasal dari kemasan bumbu kuning,"paket,rembes,kemas,bumbu,kuning",-1,negative
319,KhAyu,,Ga pedas spt sambal bawangnya .,"enggak,pedas,seperti,sambal,bawang",-1,negative
320,B***i,,Bintang 3 dulu krn tumpah / bocor,"bintang,karena,tumpah,bocor",-2,negative
321,Sofie,,Rasa terasinya aga aneh...,"terasi,aga,aneh",-1,negative
322,NIMAS,,Maaf kalo kasi nya bintang 3 productnya oke banget tapi udha 2 kalo dpet masalah di shipping syukurnya productnya ga ampe basi karena langsung masukin kulkas ketika...,"maaf,kalo,kasih,bintang,productnya,udha,kalo,dpet,shipping,syukur,productnya,enggak,sampai,basi,langsung,memasuki,kulkas",-1,negative
323,Anggia,,Saya beli 2. Dan expiry date terlalu dekat. bulan 6 2021.,"beli,expiry,date",-1,negative
324,F***a,,pengiriman lama banget,kirim,0,neutral
325,n***o,,ada 1 yg sudah terbuka,buka,0,neutral
326,M***i,,Rasanya dominan asam dan terasa seperti minum jamu. Anakku ga suka akhirnya aku yg minum,"dominan,asam,asa,minum,jamu,anak,enggak,suka,minum",2,positive
327,Rizki,,Rasa bawangnya,bawang,0,neutral
328,B***y,,kualitas produk oke hanya botol kemasan bocor dr tutupnya pada saat pengiriman,"kualitas,produk,botol,kemas,bocor,dari,tutup,kirim",-2,negative
329,Bgx,,Produk nya oke sebenernya tapi packaging nya jelek gampang tumpah kalo lagi nuang ke sendok.. Mulut botol nya diganti lah agar kalo nuang gk gampang tumpah2,"produk,packaging,jelek,gampang,tumpah,kalo,nuang,sendok,mulut,botol,ganti,kalo,nuang,enggak,gampang,tumpah2",-2,negative
330,I***i,,hadiah mugnya ga ada,"hadiah,mugnya,enggak",1,positive
331,E***i,,Uda bberapa kali beli bocor terus duh ga diperbaikin terus packaging nya.. ajukan komplain juga ribet,"sudah,bberapa,beli,bocor,duh,enggak,diperbaikin,packaging,aju,komplain,ribet",-2,negative
332,hanik,,masa kadaluarsa nya kurang lama,kadaluarsa,-1,negative
333,mindo,,sambal terasi dan sambal hijau ya expirednya cpt bgt ya. Masa cuma sampe February (sebulan) doank. ini stok lama ya?,"sambal,terasi,sambal,hijau,expirednya,cepat,banget,sampai,february,doang,stok",0,neutral
334,Traya,,Waktu barang nya belum dtg dihubungin ekspidisi kt nya barang nge rembes. Begitu sampai di unboxing dgn kurirnya ternyata tutup nya ga rapat jd minyak nya keluar semua....,"barang,datang,dihubungin,ekspidisi,kita,barang,nge,rembes,unboxing,denenggakn,kurir,nyata,tutup,enggak,rapat,jadi,minyak",-2,negative
335,Y***i,,sedih banget. dari 4 botol yang dikirim 1 pecah dan tumpah sampai basah kerdusnya. padahal sudah dibungkus dengan bubble wrap.,"sedih,botol,kirim,pecah,tumpah,basah,kerdusnya,bungkus,bubble,wrap",-4,negative
336,A***i,,Tutupnya kurang â€œair-tightâ€,"tutup,air,tight",-1,negative
337,Dian,,pengalaman belanja yang tidak enak seller sudah menawarkan komplain barang tapi sampai 3 hari saya ga keburu kirim barang untuk pengembalian. sehingga pesanan dianggap se...,"alam,belanja,enak,seller,tawar,komplain,barang,enggak,keburu,kirim,barang,pesan,angenggakp",-1,negative
338,T***a,,packing rapi.. sayangnya botol retak jg dan boccor halus.. isi nya merembes keluar,"packing,rapi,sayang,botol,retak,juga,boccor,halus,isi,rembes",1,positive
339,Maureen,,Barang ok cmn pengemasan nya aga kurang. tutup plastik dalam kurang ngepas shingga semua cairan rembess,"barang,ok,cuman,emas,aga,tutup,plastik,ngepas,shingga,cair,rembess",0,neutral
340,R***a,,Kemasan bocor dikarenakan tutup pada botol yang kurang rapat tetapi botolnya aman tidak pecah dan isinya masih bagus. semoga kedepannya lebih baik,"kemas,bocor,tutup,botol,rapat,botol,aman,pecah,isi,bagus,moga",-2,negative
341,R***a,,Tutup luar dan segel dalamnya udah kebuka. Tolong packagingnya lebih baik lagi agar higienis ketika sampai ke tangan konsumen. :(,"tutup,segel,buka,tolong,packagingnya,higienis,tangan,konsumen",-3,negative
342,Medina,,mengecewakan sekali jam 14.06 dibeli tapi besoknya jam 10.33 masih belum ada proses lebih lanjut. yg seharusnya bisa diambil kurir tanggal 3 Desember jadi molor banget....,"kecewa,jam,beli,besok,jam,proses,ambil,kurir,tanggal,desember,molor",-1,negative
343,Diani,,Ketika diterima segel barang terbuka sedikit jadi kandungan air/minyaknya merembes ke plastik wrapnya. Sy gk yakin kualitasnya sama atau tidak dengan yg bersegel rapat,"terima,segel,barang,buka,kandung,air,minyak,rembes,plastik,wrapnya,saya,enggak,kualitas,segel,rapat",-2,negative
344,D***l,,Salah satu manfaat kunyit asam untuk meredakan mag memang terbukti manjur di saya. Oleh karena itu saya repeat order. Tapi untuk pembelian kali ini saya agak kecewa karn...,"salah,manfaat,kunyit,asam,reda,mag,bukti,manjur,repeat,order,beli,kecewa,karn",1,positive
345,m***a,,packing dan pengiriman cepet bet. wkt liat produknya berharap rasanya kek sambal ijo padang dan saya salah. rasa sambalnya agak tawar mungkin krn sambal sehat ya? t...,"packing,kirim,cepat,banget,waktu,lihat,produk,harap,kayak,sambal,ijo,padang,salah,sambal,tawar,karena,sambal,sehat,t",2,positive
346,Ayuning,,Coller tambahan agar sambal tidak basi,"coller,sambal,basi",-1,negative
347,E***i,,Sari lemon nya Agak pahit rasanya after taste..,"sari,lemon,pahit,after,taste",-1,negative
348,Kris,,deliverynya...pdhl biasanya cepat..,"deliverynya,padahal,cepat",1,positive
349,a***e,,Maaf ini honest review. Rasa jahenya kurang nendang. Utk service,"maaf,honest,review,jahe,nendang,untuk,service",-1,negative
350,D***i,,utk kualitas produk,"untuk,kualitas,produk",0,neutral
351,Romadona,,Sedih sih saat dibuka agak meledak isinya berhamburan kena taplak meja dah warnanya gak bisa hilang :( apa memang tidak boleh dikocok sebelum dibuka dulu ya...semoga k...,"sedih,bukea,ledake,isi,hambur,keena,taplake,meja,deh,warna,enggake,hilang,keocoke,bukea,moga,ke",-1,negative
352,saskia,,barang ok tp bocor dan tumpah. tutup tdk erat,"barang,ok,tapi,bocor,tumpah,tutup,tidak,erat",-3,negative
353,Nucha,,Salah satu bumbu tumpah,"salah,bumbu,tumpah",-1,negative
354,Bunga,,Kemasan kurang rapat jd bocor,"kemas,rapat,jadi,bocor",-1,negative
355,A***a,,langganan beli disini tp baru kali ini bumbu tercecer kebuka hampir seperempat nya keluar dr kemasan nya ðŸ˜­ðŸ˜­,"langgan,beli,tapi,bumbu,cecer,buka,dari,kemas",1,positive
356,L***i,,Tutup toplesnya tidak rapat sehingga isinya merembes keluar. Dan bumbunya jadi kering.,"tutup,toplesnya,rapat,isi,rembes,bumbu,kering",-2,negative
357,Sri,,kali ini beli lebih encer tanya admin katanya sama aja resepnya. sudah 4x repeat order yg ini mengecewakan.,"beli,encer,admin,resep,sudahx,repeat,order,kecewa",-2,negative
358,F***o,,Entah krn panas atau tekanan tp jamu nya jd rusak bersoda. Trus mbledos ðŸ¤£,"karena,panas,tekan,tapi,jamu,jadi,rusak,soda,terus,mbledos",-1,negative
359,Nes,,Saya terima bumbu kuning,"terima,bumbu,kuning",1,positive
360,D***y,,Packagingnya kurang aman. Tumpah,"packagingnya,aman,tumpah",0,neutral
361,Hanna,,Pas sampai box sudah basah benyek disamping dan berminyak. Begitu buka sesuai kecurigaan dan sempet bc bbrp review memang bocor tutupnya.,"box,basah,benyek,samping,minyak,buka,sesuai,curiga,sempat,baca,beberapa,review,bocor,tutup",-2,negative
362,nur,,Kemasan pengiriminannya kurang baik karena bumbunya tumpah2 keluar,"kemas,pengiriminannya,bumbu,tumpah2",0,neutral
363,Annisa,,produk cepat sampainya . tapi kenapa setiap saya mau nuang ke sendok pasti tumpah ya agak sayang setiap nuang ke sendok pasti tumpah sedikit . semoga kemasanya diperaik...,"produk,cepat,nuang,sendok,tumpah,sayang,nuang,sendok,tumpah,moga,diperaik",-2,negative
364,Dhinie,,Sudah dibuat masak dan memang rasa nya oke punya cm packingnya buruk sampai rumah tumpah bumbu nya,"masak,packingnya,buruk,rumah,tumpah,bumbu",0,neutral
365,Asri,,Lagi apes. Ini pembelian ke-2 saya dpt produk bocor. Bumbu nya sih ga sampe keluar tp minyak nya kemana2 sampe nembus di kardus. Waktu dpt bocor pertama kali yaudah mun...,"apes,beli,dapat,produk,bocor,bumbu,enggak,sampai,tapi,minyak,kemana2,sampai,nembus,kardus,dapat,bocor,yaudah,mun",-3,negative
366,D***i,,Saya sudah sering pesan produk ini tapi makin kesini rasanya semakin berbeda dan aneh.. beda seperti saat awal saya pesan.. rasa kunyitnya tdk terasa hanya rasa asam sa...,"pesan,produk,kesini,beda,aneh,beda,pesan,kunyit,tidak,asa,asam,sa",-1,negative
367,D***i,,Saya sudah sering pesan produk ini tapi makin kesini rasanya semakin berbeda dan aneh.. beda seperti saat awal saya pesan.. rasa jahenya tdk terasa.. mungkin krn pandemi...,"pesan,produk,kesini,beda,aneh,beda,pesan,jahe,tidak,asa,karena,pandemi",-1,negative
368,R***h,,Sekarang rasanya beda dan lebih cair,"beda,cair",0,neutral
369,Mitapradnyadewi,,Kemasan nya sudah bagus cuma botolnya baru di buka pecah samping nya,"kemas,bagus,botol,buka,pecah,samping",-1,negative
370,S***i,,sambal bawang nya seal kertas tidak menempel dengan botol (terlepas begitu tutup botol di buka),"sambal,bawang,seal,kertas,tempel,botol,lepas,tutup,botol,buka",-2,negative
371,O***a,,Ayamnya kurang fresh gatau karena pengiriman ke Jakarta atau gimana ðŸ¥²,"ayam,fresh,enggak,tau,kirim,jakarta,bagaimana",0,neutral
372,Lili,,asemmm banget dan ada sedikit rasa pahit,"asemmm,pahit",-1,negative
373,Ulyn,,Rasanya sungguh plain yg agak mendingan rasanya itu ayam terik manis.,"plain,mending,ayam,terik,manis",1,positive
374,D***f,,Aftertaste nya Agak Pahit di mulut saya,"aftertaste,pahit,mulut",-1,negative
375,F***a,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Endapan kunyitnya banyak banget euyy....,"endap,kunyit,euyy",0,neutral
376,Abu,,. blm berani kasi bintang 5...prosess on going...kl berhasil beli lagi....baru bs kasi bintang lima...,"belum,berani,kasihh,bintang,prosess,on,going,kalo,hasil,beli,bisa,kasihh,bintang",-1,negative
377,rahmayanti,"Paket Kolaborasi Pocilito - Rahsa Nusantara X Dayu Hatmanti""",ternyata ada yg gak kejait huhuu,"nyata,enggak,kejait,huhuu",0,neutral
378,D***a,,Pembelian ke2. ternyata kurang begitu ngefek untuk penderita Gerd. terimakasih.,"beli,ke2,nyata,ngefek,derita,gerd,terimakasih",0,neutral
379,Mirna,,Pengiriman cepat packing aman tidak ada yang bocor. Tapi saya kurang cocok sama rasanya.,"kirim,cepat,packing,aman,bocor,cocok",2,positive
380,T***o,,Biasa aja...,,0,neutral
381,N***y,,Lambung+esofagus saya yg sudah didera maag/GERD belum bisa kompromi dgn Sapujagad lebih cocok sama yg Jagadthara.,"lambung,esofagus,dera,maag,gerd,kompromi,dengan,sapujagad,cocok,jagadthara",1,positive
382,f***y,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",Pengiriman luar biasa lamaâ€¦ðŸ¥² punya paket dari bandung jg tapi datangnya bisa lebih cepat,"kirim,paket,bandung,juga,cepat",1,positive
383,f***y,,Pengirimannya lama banget dan ternyata anak sy g doyanðŸ˜‚,"kirim,nyata,anak,saya,enggak,doyan",0,neutral
384,Widya,"Mini Size Sapujagad Anak by Rahsa Nusantara""",Tutup dan kemasan perlu diperbaiki. Beli 5 botol lima2nya isinya keluar. Gak banyak tapi botol bagian luarnya basah walaupun bubble wrap nya aman ya.,"tutup,kemas,beli,botol,lima2nya,isi,enggak,botol,basah,bubble,wrap,aman",-1,negative
385,Widya,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",Tutup dan kemasan perlu diperbaiki. Beli 5 botol lima2nya isinya keluar. Gak banyak tapi botol bagian luarnya basah walaupun bubble wrap nya aman ya.,"tutup,kemas,beli,botol,lima2nya,isi,enggak,botol,basah,bubble,wrap,aman",-1,negative
386,B***a,,entah krn indra perasa sy yg rusak apa gmn kayanya lemonnya kurang fresh dr bau dan rasanya beda,"karena,indaria,asa,saya,rusak,bagaimana,kayak,lemon,fresh,dari,bau,beda",-1,negative
387,Muh,,Di botol nya di tulis tidak boleh dikonsumsi lebih dr satu kali sehari. Tapi di gambar nya utk penanganan dibilang diminum 3x sehari. Mana yg benar ya?,"botol,tulis,konsumsi,dari,gambar,untuk,tangan,bilang,diminumx",0,neutral
388,Anita,,Rasa lemonnya segar cuma aromanya ketika diminum dg air biasa ada seperti bau obat tp tidak pahit dan sy td coba tanpa tambahan gula/ madu,"lemon,segar,aroma,minum,dengan,air,bau,obat,tapi,pahit,saya,tadi,coba,gula,madu",-2,negative
389,Dewi,"[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek""",exp datenya tidak ditampilkan di etalase ketika barang sampe ternyata exp nya tinggal sebulan lg,"exp,datenya,tampil,etalase,barang,sampai,nyata,exp,tinggal,lagi",-2,negative
390,Haning,"[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara""",pengemasan sangat perlu ditingkatkan botol sapujagad pecah saat sampai :((,"emas,tingkat,botol,sapujagad,pecah",-1,negative
391,N***l,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",agak bocor tutupnya ga kencang walau sudah di segel,"bocor,tutup,enggak,kencang,segel",-3,negative
392,Mona,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",sdh konsumsi selama 6 hari berturut2 kok batpil si kecil blm ada progres jg ya,"sudah,konsumsi,berturut2,batpil,belum,progres,juga",-1,negative
393,fadhiel,,Belum dicoba untuk rasanya untuk packagingnya oke banget safety bgt lah !,"coba,packagingnya,safety,banget",1,positive
394,Rachmayanti,"PAKET HEALTHY KIDS 200K By Rahsa Nusantara""",Rasanya kurang kalau untuk anak,anak,0,neutral
395,N***a,,sy langganan beli ini sudah 4 kali kecewa dengan kemasan skrg ga ada tutup putih lagi. skrg hanya langsung alumunium tetesan rahsa keluar saat di kocok. tolong diadaka...,"saya,langenggakn,beli,kecewa,kemas,sekarang,enggak,tutup,putih,sekarang,langsung,alumunium,tetes,rahsa,kocok,tolong,diadaka",-3,negative
396,a***y,,Pengemasannya lama dikirimnya pengirimannya lumayan cepet,"emas,kirim,kirim,lumayan,cepat",1,positive
397,M***n,,Paket sudah sampai...,paket,0,neutral
398,D***y,,Packaging kurang aman. Tumpah,"packaging,aman,tumpah",0,neutral
399,J***y,,Baru datang belum di coba tp kyk kebanyakan y direview masalah nya ad di botol nya .ad rembesan untung sehari sampai pengiriman nya.jd berkurang nya g banyak bgt ðŸ˜­,"coba,tapi,kayaak,ya,direview,adaa,botol,adaa,rembes,untunenggak,kirim,jadi,enggak,benggakt",-1,negative
400,I***a,,rasa dominan asam sepertinya rahsa nusantara harus bkin produk yg manfaat nya sama dgn dominan rasa manis supaya anak2 lebih nyaman saat minum yaaaa hanya masukan saja...,"dominan,asam,rahsa,nusantara,bikin,produk,manfaat,dengan,dominan,manis,anak-anak,nyaman,minum,ya,masuk",2,positive
401,A***a,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Pesan minggu baru diproses selasa. Dah keburu sembuh flu batuknya.,"pesan,proses,deh,keburu,sembuh,flu,batuk",0,neutral
402,Eko,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",Barangnya lumayan bagus.....cuma pengiriman lama Banget udah bayar mahal....parah banget,"barang,lumayan,bagus,kirim,bayar,mahal,parah",0,neutral
403,S***e,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Baru dicoba,coba,0,neutral
404,Alan,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",rasa nya terlalu rasa jamu.. kunyit nya terlalu kencang g ada kecut2 dari tamarind nya,"jamu,kunyit,kencanenggak,enggak,kecut2,tamarind",0,neutral
405,S***n,,sepertinya kemasannya sedikit tumpah,"kemas,tumpah",-1,negative
406,Windra,,Masukan: bisa dikemas dengan lebih baik lagi agar isi tidak tumpah saat dituang,"masuk,kemas,isi,tumpah,tuang",-1,negative
407,Elvina,,Pas dibuka segel dalam bumbunya kering..pembelian pertama ga kering..,"buka,segel,bumbu,kering,beli,enggak,kering",-1,negative
408,Sari,,udh pake bubble wrap tp masih sedikit tumpah sepertinya .. krn bubble terasa basah oleh produk .. mksh bonusnya,"sudah,pakai,bubble,wrap,tapi,tumpah,karena,bubble,asa,basah,produk,terima,kasih,bonus",2,positive
409,indahvesqi,,barangnya sudah sampai. ternyata dikasih bonus Sari lemon cold press shoot dan pecah tapi jd merembes dikardus. sayang deh ga bs dicoba. tp 2 botol sekarjagadnya safe,"barang,nyata,kasih,bonus,sari,lemon,cold,press,shoot,pecah,jadi,rembes,kardus,sayang,deh,enggak,bisa,coba,tapi,botol,sekarjaenggakdnya,safe",1,positive
410,S***s,,produk berkualitas ini repeat order saya. bumbu dikemas botol kaca dibungkus bubble wrap tebal. Pesan barengan dgn bumbu putih namun sayang yg bumbu kuning ini segel al...,"produk,kualitas,repeat,order,bumbu,kemas,botol,kaca,bungkus,bubble,wrap,tebal,pesan,bareng,dengan,bumbu,putih,sayang,bumbu,kuning,segel,al",0,neutral
411,susanti,,tutup dalamnya longgar tidak ngunci jadi rembes keluar.masukan harap tutup dalmnya diganti yg pas.produk belum di coba.,"tutup,longgar,ngunci,rembes,masuk,harap,tutup,dalmnya,ganti,produk,coba",-3,negative
412,h***i,,pengiriman cepet.udh cocok jg ama produknya,"kirim,cepat,sudah,cocok,juga,sama,produk",2,positive
413,Andina,,kemasannya bocor sampai tembus keluar kardus paketnya. mohon untuk diperbaiki packingnya,"kemas,bocor,tembus,kardus,paket,mohon,packingnya",-1,negative
414,Novi,,Packaging rapi tapi pas bubble wrap dibuka ttp ada rembesan basah ga tau darimana. Pas dituang rada susah n tumpah2 dari mulut botolnya padahal uda hati2 bgt. Mungkin bai...,"packaging,rapi,bubble,wrap,buka,tetap,rembes,basah,enggak,tau,tuang,rada,susah,n,tumpah2,mulut,botol,sudah,hati-hati,banget,bai",-2,negative
415,Novi,,Bungkusnya sih rapi tapi waktu di buka bubble wrap ttp ada rembesan ga tau darimana. Trus pas dituang ke sendok suka tumpah2 mungkin baiknya diganti yg mulut botolnya an...,"bungkus,rapi,buka,bubble,wrap,tetap,rembes,enggak,tau,terus,tuang,sendok,suka,tumpah2,enggaknti,mulut,botol,an",0,neutral
